x,y
213,18
214,18
215,19
216,20
217,20
218,20
219,21
220,21
221,22
222,22
223,22
224,21
225,21
226,22
227,22
228,22
229,22
230,23
231,23
232,23
233,23
234,23
235,24
235,25
235,26
234,26
233,27
233,28
233,29
233,30
233,31
232,32
232,33
232,34
232,35
232,36
232,37
232,38
231,39
230,40
230,41
231,42
232,43
232,44
233,45
234,45
234,46
233,47
233,48
233,49
232,49
231,50
230,51
229,52
229,53
229,54
229,55
229,56
228,57
229,58
229,59
229,60
229,61
229,62
229,63
229,64
229,65
229,66
230,67
230,68
231,69
232,70
232,71
232,72
232,73
232,74
232,75
232,76
232,77
232,78
232,79
232,80
232,81
233,82
234,83
234,84
235,85
236,86
237,87
238,88
239,89
240,90
241,91
242,92
243,92
244,92
245,93
246,93
247,93
248,93
249,93
250,94
251,94
252,94
253,94
254,93
255,93
256,93
257,92
258,92
259,91
260,91
261,90
262,89
263,89
264,88
265,87
266,86
267,85
268,84
269,83
270,82
271,81
272,80
273,79
274,79
275,78
276,77
277,76
278,75
279,75
280,75
281,74
282,73
282,72
283,71
284,70
285,69
286,68
287,67
288,66
289,65
290,65
291,64
292,63
293,62
294,62
295,61
296,60
297,59
298,58
299,58
300,58
301,57
302,57
303,57
304,57
305,57
306,58
307,59
307,60
308,61
309,62
310,63
311,64
312,64
313,65
313,66
314,67
315,68
315,69
316,70
316,71
316,72
317,73
318,74
318,75
319,76
320,77
320,78
321,79
321,80
322,81
322,82
322,83
322,84
323,85
324,85
325,85
326,85
327,86
328,86
329,86
330,86
331,86
332,86
333,86
334,86
335,86
336,86
337,86
338,86
339,86
340,86
341,86
342,85
343,85
344,85
345,85
346,85
347,85
348,86
349,86
350,85
351,85
352,85
353,85
354,85
355,85
356,85
357,84
358,84
359,84
360,84
361,84
362,83
363,83
364,83
365,83
366,83
367,83
368,84
369,85
370,86
371,87
372,88
373,89
373,90
373,91
373,92
374,93
374,94
374,95
374,96
374,97
374,98
374,99
374,100
374,101
374,102
375,103
375,104
375,105
375,106
375,107
374,108
373,108
372,108
371,108
370,107
369,107
368,107
367,107
366,107
365,108
364,108
363,108
362,108
361,108
360,108
359,108
358,108
357,108
356,108
355,108
354,108
353,109
352,109
351,109
350,108
349,107
348,106
347,105
346,104
345,104
344,103
343,103
342,103
341,102
340,102
339,102
338,102
337,103
336,103
335,103
334,103
333,104
332,105
331,105
330,105
329,104
328,104
327,104
326,104
325,105
324,106
324,107
323,107
322,108
321,108
320,109
319,109
318,109
317,109
316,110
315,110
314,110
313,111
312,112
311,113
310,113
309,113
308,114
307,115
306,115
305,115
304,116
303,116
302,117
301,118
300,119
299,120
298,121
298,122
297,123
296,124
295,125
295,126
294,127
293,128
293,129
292,130
291,131
290,132
289,133
289,134
288,135
287,135
286,136
285,137
285,138
286,139
287,140
288,141
288,142
288,143
288,144
288,145
288,146
288,147
289,148
288,149
288,150
288,151
288,152
288,153
287,154
286,155
287,156
287,157
287,158
287,159
287,160
286,160
285,161
284,162
284,163
284,164
284,165
284,166
284,167
284,168
283,169
283,170
283,171
283,172
283,173
283,174
283,175
283,176
282,177
282,178
282,179
282,180
282,181
281,182
280,183
279,184
278,185
277,186
276,187
275,187
274,187
273,187
272,187
271,187
270,187
269,186
268,186
267,185
266,184
265,183
264,182
263,181
262,180
261,180
260,179
259,178
259,177
258,176
258,175
257,174
256,173
255,172
254,171
253,170
252,169
251,168
250,168
249,168
248,168
247,167
246,166
245,165
244,165
243,165
242,164
241,164
240,163
239,163
238,163
237,162
236,162
235,162
234,162
233,162
232,162
231,162
230,161
229,162
228,162
227,162
226,161
225,161
224,161
223,161
222,161
221,161
220,162
219,163
218,164
217,164
216,165
215,166
214,167
214,168
213,169
212,170
211,171
210,172
209,173
209,174
209,175
208,176
207,177
207,178
207,179
208,180
207,181
207,182
207,183
206,184
205,185
205,186
205,187
206,188
206,189
206,190
206,191
205,192
204,193
203,194
203,195
203,196
202,197
202,198
202,199
202,200
202,201
202,202
202,203
202,204
202,205
202,206
203,207
203,208
204,209
204,210
204,211
204,212
204,213
205,214
205,215
205,216
205,217
205,218
206,219
207,220
207,221
207,222
207,223
207,224
208,225
208,226
209,227
210,228
210,229
210,230
211,231
212,232
212,233
213,234
213,235
213,236
214,237
214,238
214,239
214,240
214,241
215,242
215,243
216,244
215,245
215,246
214,247
213,248
212,249
212,250
212,251
212,252
211,253
211,254
210,255
210,256
209,257
209,258
208,259
207,260
207,261
207,262
207,263
207,264
207,265
206,265
205,265
204,265
203,265
202,265
201,265
200,265
199,265
198,264
197,264
196,264
195,264
194,263
193,263
192,263
191,263
190,262
189,261
188,261
187,260
186,259
